epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2763,1.60022,2.88584,1.72153,0.01666,0.74595,0.31157,0.17062,1.25857,3.37973,1.45669,0.000400641,0.000400641,0.000400641
2,18.6728,1.02528,1.38604,1.19373,0.64444,0.5214,0.45264,0.3111,1.28925,2.68643,1.31325,0.000790337,0.000790337,0.000790337
3,25.0063,0.9733,1.16894,1.15107,0.93663,0.30605,0.61192,0.32065,1.52925,2.65572,1.72961,0.00115253,0.00115253,0.00115253
4,32.3451,0.92224,1.06724,1.13403,0.47168,0.61407,0.65031,0.38517,1.32482,1.87053,1.4322,0.00112625,0.00112625,0.00112625
5,38.9632,0.89922,1.01143,1.10851,0.54193,0.77508,0.74164,0.4637,1.20075,1.63684,1.33906,0.001085,0.001085,0.001085
6,46.3472,0.87677,0.93993,1.12213,0.69917,0.77524,0.84337,0.52269,1.19258,1.18336,1.29939,0.00104375,0.00104375,0.00104375
7,55.2056,0.84722,0.86991,1.08082,0.65821,0.80589,0.83363,0.55864,1.10262,1.18138,1.22154,0.0010025,0.0010025,0.0010025
8,61.4906,0.84022,0.85512,1.07326,0.86817,0.77767,0.86638,0.64714,0.96765,1.00548,1.13481,0.00096125,0.00096125,0.00096125
9,68.8799,0.79729,0.78362,1.05787,0.90495,0.83461,0.8636,0.6502,0.89374,0.90215,1.07759,0.00092,0.00092,0.00092
10,75.5617,0.79367,0.76885,1.04323,0.84201,0.81606,0.89637,0.6532,1.00017,0.97781,1.14062,0.00087875,0.00087875,0.00087875
11,83.1841,0.76701,0.76351,1.05917,0.8504,0.81454,0.82972,0.59387,0.98847,0.91828,1.14665,0.0008375,0.0008375,0.0008375
12,89.6514,0.79173,0.75898,1.04976,0.88814,0.80659,0.86584,0.66194,0.87812,0.81084,1.06351,0.00079625,0.00079625,0.00079625
13,97.0948,0.77329,0.73999,1.04314,0.78048,0.81921,0.87795,0.65894,0.93599,0.80751,1.10139,0.000755,0.000755,0.000755
14,103.458,0.74273,0.72473,1.05229,0.93425,0.84253,0.88456,0.67784,0.90859,0.78044,1.07957,0.00071375,0.00071375,0.00071375
15,111.305,0.73772,0.67701,1.03812,0.87441,0.77893,0.8422,0.62959,0.92123,0.84294,1.07059,0.0006725,0.0006725,0.0006725
16,117.67,0.73185,0.68358,1.0363,0.89282,0.80195,0.8431,0.63256,0.92424,0.77617,1.08913,0.00063125,0.00063125,0.00063125
17,125.192,0.72639,0.6459,1.02739,0.84448,0.85865,0.86967,0.66562,0.88619,0.72314,1.04037,0.00059,0.00059,0.00059
18,131.375,0.72285,0.64577,1.04673,0.88333,0.86395,0.89122,0.6925,0.85536,0.6955,1.02702,0.00054875,0.00054875,0.00054875
19,139.006,0.67335,1.11848,0.97831,0.85284,0.89193,0.89038,0.67192,0.90953,0.70042,1.06585,0.0005075,0.0005075,0.0005075
20,145.637,0.68645,0.61411,0.99105,0.89883,0.8991,0.89257,0.69335,0.88075,0.64711,1.04616,0.00046625,0.00046625,0.00046625
21,154.794,0.7063,0.70318,1.04825,0.89563,0.8232,0.88191,0.68219,0.90549,0.69192,1.05319,0.000425,0.000425,0.000425
22,160.911,0.61806,0.56608,0.97987,0.87492,0.82376,0.86077,0.64134,0.90599,0.67811,1.05757,0.00038375,0.00038375,0.00038375
23,167.409,0.64866,0.55927,0.98526,0.84633,0.89553,0.87596,0.67025,0.86454,0.64922,1.02498,0.0003425,0.0003425,0.0003425
24,173.079,0.62395,0.52031,0.96497,0.89603,0.8778,0.90682,0.70309,0.85786,0.60998,1.03951,0.00030125,0.00030125,0.00030125
25,180.049,0.62918,0.52428,0.9879,0.91732,0.88792,0.90318,0.71944,0.8228,0.59247,1.00727,0.00026,0.00026,0.00026
26,185.756,0.58754,0.49653,0.96379,0.86492,0.90094,0.88777,0.68821,0.89902,0.60887,1.04419,0.00021875,0.00021875,0.00021875
27,192.356,0.58884,0.51132,0.96546,0.8545,0.89535,0.88648,0.70261,0.85309,0.59518,1.02384,0.0001775,0.0001775,0.0001775
28,197.864,0.60147,0.51376,0.97392,0.87615,0.89138,0.89143,0.70016,0.83972,0.57936,1.00553,0.00013625,0.00013625,0.00013625
29,204.876,0.57009,0.48063,0.94377,0.87201,0.88252,0.8911,0.7126,0.82251,0.57633,0.99851,9.5e-05,9.5e-05,9.5e-05
30,210.629,0.57799,0.46845,0.97456,0.87134,0.89102,0.89022,0.70878,0.80437,0.56608,0.98768,5.375e-05,5.375e-05,5.375e-05
